WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 0.000000 0.128638 0.257140 0.128502 0.000000 0.000000 0.000000 0.128638 0.257140 0.128502 0.000000 
0.000000 0.000000 0.000000 0.130680 0.261221 0.130541 0.000000 0.000000 0.000000 0.130680 0.261221 0.130541 0.000000 
0.000000 0.000000 0.000000 0.132722 0.265303 0.132581 0.000000 0.000000 0.000000 0.132722 0.265303 0.132581 0.000000 
0.000000 0.000000 0.000000 0.134764 0.269384 0.134621 0.000000 0.000000 0.000000 0.134764 0.269384 0.134621 0.000000 
0.000000 0.000000 0.000000 0.136805 0.273466 0.136661 0.000000 0.000000 0.000000 0.136805 0.273466 0.136661 0.000000 
0.000000 0.000000 0.000000 0.138847 0.277548 0.138700 0.000000 0.000000 0.000000 0.138847 0.277548 0.138700 0.000000 
0.000000 0.000000 0.000000 0.140889 0.281629 0.140740 0.000000 0.000000 0.000000 0.140889 0.281629 0.140740 0.000000 
0.000000 0.000000 0.000000 0.142931 0.285711 0.142780 0.000000 0.000000 0.000000 0.142931 0.285711 0.142780 0.000000 
0.000000 0.000000 0.000000 0.144973 0.289792 0.144819 0.000000 0.000000 0.000000 0.144973 0.289792 0.144819 0.000000 
0.000000 0.000000 0.000000 0.147015 0.293874 0.146859 0.000000 0.000000 0.000000 0.147015 0.293874 0.146859 0.000000 
0.000000 0.000000 0.000000 0.149057 0.297956 0.148899 0.000000 0.000000 0.000000 0.149057 0.297956 0.148899 0.000000 
0.000000 0.000000 0.000000 0.151099 0.302037 0.150939 0.000000 0.000000 0.000000 0.151099 0.302037 0.150939 0.000000 
0.000000 0.000000 0.000000 0.153140 0.306119 0.152978 0.000000 0.000000 0.000000 0.153140 0.306119 0.152978 0.000000 
0.000000 0.000000 0.000000 0.155182 0.310200 0.155018 0.000000 0.000000 0.000000 0.155182 0.310200 0.155018 0.000000 
0.000000 0.000000 0.000000 0.157224 0.314282 0.157058 0.000000 0.000000 0.000000 0.157224 0.314282 0.157058 0.000000 
0.000000 0.000000 0.000000 0.159266 0.318363 0.159097 0.000000 0.000000 0.000000 0.159266 0.318363 0.159097 0.000000 
0.000000 0.000000 0.000000 0.161308 0.322445 0.161137 0.000000 0.000000 0.000000 0.161308 0.322445 0.161137 0.000000 
0.000000 0.000000 0.000000 0.163350 0.326527 0.163177 0.000000 0.000000 0.000000 0.163350 0.326527 0.163177 0.000000 
0.000000 0.000000 0.000000 0.165392 0.330608 0.165217 0.000000 0.000000 0.000000 0.165392 0.330608 0.165217 0.000000 
