WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 -0.000204 0.028687 0.057343 0.028657 0.000204 0.000000 -0.000204 0.028687 0.057343 0.028657 -0.000204 
0.000000 0.000000 -0.000207 0.029064 0.058098 0.029034 0.000207 0.000000 -0.000207 0.029064 0.058098 0.029034 -0.000207 
0.000000 0.000000 -0.000209 0.029442 0.058853 0.029411 0.000209 0.000000 -0.000209 0.029442 0.058853 0.029411 -0.000209 
0.000000 0.000000 -0.000212 0.029819 0.059607 0.029788 0.000212 0.000000 -0.000212 0.029819 0.059607 0.029788 -0.000212 
0.000000 0.000000 -0.000215 0.030197 0.060362 0.030165 0.000215 0.000000 -0.000215 0.030197 0.060362 0.030165 -0.000215 
0.000000 0.000000 -0.000218 0.030574 0.061116 0.030542 0.000218 0.000000 -0.000218 0.030574 0.061116 0.030542 -0.000218 
0.000000 0.000000 -0.000220 0.030952 0.061871 0.030919 0.000220 0.000000 -0.000220 0.030952 0.061871 0.030919 -0.000220 
0.000000 0.000000 -0.000223 0.031329 0.062625 0.031296 0.000223 0.000000 -0.000223 0.031329 0.062625 0.031296 -0.000223 
0.000000 0.000000 -0.000226 0.031706 0.063380 0.031673 0.000226 0.000000 -0.000226 0.031706 0.063380 0.031673 -0.000226 
0.000000 0.000000 -0.000228 0.032084 0.064134 0.032050 0.000228 0.000000 -0.000228 0.032084 0.064134 0.032050 -0.000228 
0.000000 0.000000 -0.000231 0.032461 0.064889 0.032427 0.000231 0.000000 -0.000231 0.032461 0.064889 0.032427 -0.000231 
0.000000 0.000000 -0.000234 0.032839 0.065643 0.032804 0.000234 0.000000 -0.000234 0.032839 0.065643 0.032804 -0.000234 
0.000000 0.000000 -0.000236 0.033216 0.066398 0.033181 0.000236 0.000000 -0.000236 0.033216 0.066398 0.033181 -0.000236 
0.000000 0.000000 -0.000239 0.033594 0.067152 0.033558 0.000239 0.000000 -0.000239 0.033594 0.067152 0.033558 -0.000239 
0.000000 0.000000 -0.000242 0.033971 0.067907 0.033936 0.000242 0.000000 -0.000242 0.033971 0.067907 0.033936 -0.000242 
0.000000 0.000000 -0.000244 0.034349 0.068661 0.034313 0.000244 0.000000 -0.000244 0.034349 0.068661 0.034313 -0.000244 
0.000000 0.000000 -0.000247 0.034726 0.069416 0.034690 0.000247 0.000000 -0.000247 0.034726 0.069416 0.034690 -0.000247 
0.000000 0.000000 -0.000250 0.035104 0.070170 0.035067 0.000250 0.000000 -0.000250 0.035104 0.070170 0.035067 -0.000250 
0.000000 0.000000 -0.000252 0.035481 0.070925 0.035444 0.000252 0.000000 -0.000252 0.035481 0.070925 0.035444 -0.000252 
0.000000 0.000000 -0.000255 0.035858 0.071679 0.035821 0.000255 0.000000 -0.000255 0.035858 0.071679 0.035821 -0.000255 
0.000000 0.000000 -0.000258 0.036236 0.072434 0.036198 0.000258 0.000000 -0.000258 0.036236 0.072434 0.036198 -0.000258 
0.000000 0.000000 -0.000260 0.036613 0.073188 0.036575 0.000260 0.000000 -0.000260 0.036613 0.073188 0.036575 -0.000260 
0.000000 0.000000 -0.000263 0.036991 0.073943 0.036952 0.000263 0.000000 -0.000263 0.036991 0.073943 0.036952 -0.000263 
0.000000 0.000000 -0.000266 0.037368 0.074697 0.037329 0.000266 0.000000 -0.000266 0.037368 0.074697 0.037329 -0.000266 
0.000000 0.000000 -0.000269 0.037746 0.075452 0.037706 0.000269 0.000000 -0.000269 0.037746 0.075452 0.037706 -0.000269 
0.000000 0.000000 -0.000271 0.038123 0.076206 0.038083 0.000271 0.000000 -0.000271 0.038123 0.076206 0.038083 -0.000271 
