0 X Y Z
0.40038 1.87254 3.87254 5.87254 
0.405423 1.87254 3.87254 5.87254 
0.410376 1.87254 3.87254 5.87254 
0.41539 1.87254 3.87254 5.87254 
0.42039 1.94698 3.94698 5.94698 
0.425399 1.94698 3.94698 5.94698 
0.430411 1.94698 3.94698 5.94698 
0.435386 1.94698 3.94698 5.94698 
0.44042 1.99011 3.99011 5.99011 
0.445442 1.99011 3.99011 5.99011 
0.450491 1.99011 3.99011 5.99011 
0.455382 1.99011 3.99011 5.99011 
0.460374 1.9989 3.9989 5.9989 
0.465395 1.9989 3.9989 5.9989 
0.470401 1.9989 3.9989 5.9989 
0.47539 1.9989 3.9989 5.9989 
0.480396 1.97273 3.97273 5.97273 
0.485427 1.97273 3.97273 5.97273 
0.490395 1.97273 3.97273 5.97273 
0.495396 1.97273 3.97273 5.97273 
0.500379 1.91344 3.91344 5.91344 
0.505399 1.91344 3.91344 5.91344 
0.510374 1.91344 3.91344 5.91344 
0.515399 1.91344 3.91344 5.91344 
0.520458 1.82518 3.82518 5.82518 
0.525514 1.82518 3.82518 5.82518 
0.530528 1.82518 3.82518 5.82518 
0.535514 1.82518 3.82518 5.82518 
0.540453 1.71413 3.71413 5.71413 
0.545516 1.71413 3.71413 5.71413 
0.550531 1.71413 3.71413 5.71413 
0.555513 1.71413 3.71413 5.71413 
0.560454 1.58808 3.58808 5.58808 
0.565457 1.58808 3.58808 5.58808 
0.570531 1.58808 3.58808 5.58808 
0.575516 1.58808 3.58808 5.58808 
0.580461 1.45586 3.45586 5.45586 
0.585538 1.45586 3.45586 5.45586 
0.590528 1.45586 3.45586 5.45586 
0.595513 1.45586 3.45586 5.45586 
0.600453 1.32673 3.32673 5.32673 
0.605546 1.32673 3.32673 5.32673 
0.610528 1.32673 3.32673 5.32673 
0.615454 1.32673 3.32673 5.32673 
0.620454 1.20974 3.20974 5.20974 
0.625513 1.20974 3.20974 5.20974 
0.630531 1.20974 3.20974 5.20974 
0.635536 1.20974 3.20974 5.20974 
0.640452 1.11309 3.11309 5.11309 
0.645513 1.11309 3.11309 5.11309 
0.650529 1.11309 3.11309 5.11309 
0.655513 1.11309 3.11309 5.11309 
0.660455 1.04355 3.04355 5.04355 
0.665466 1.04355 3.04355 5.04355 
0.670527 1.04355 3.04355 5.04355 
0.675512 1.04355 3.04355 5.04355 
0.680453 1.00599 3.00599 5.00599 
0.685515 1.00599 3.00599 5.00599 
0.690529 1.00599 3.00599 5.00599 
0.695542 1.00599 3.00599 5.00599 
0.700454 1.00305 3.00305 5.00305 
0.705514 1.00305 3.00305 5.00305 
0.710529 1.00305 3.00305 5.00305 
0.715455 1.00305 3.00305 5.00305 
0.720452 1.03492 3.03492 5.03492 
0.725517 1.03492 3.03492 5.03492 
0.730527 1.03492 3.03492 5.03492 
0.735513 1.03492 3.03492 5.03492 
0.740452 1.09939 3.09939 5.09939 
0.745515 1.09939 3.09939 5.09939 
0.750531 1.09939 3.09939 5.09939 
0.755515 1.09939 3.09939 5.09939 
0.760452 1.19192 3.19192 5.19192 
0.765572 1.19192 3.19192 5.19192 
0.770529 1.19192 3.19192 5.19192 
0.775514 1.19192 3.19192 5.19192 
0.780459 1.30604 3.30604 5.30604 
0.785521 1.30604 3.30604 5.30604 
0.790528 1.30604 3.30604 5.30604 
0.795513 1.30604 3.30604 5.30604 
0.800454 1.43375 3.43375 5.43375 
